timestep,demand,curtailment
1,-49533.0,-0.0
2,-48797.99999999999,-0.0
3,-49181.5,-0.0
4,-50466.5,-0.0
5,-54169.5,-0.0
6,-62705.499999999985,-0.0
7,-69799.0,-0.0
8,-72568.5,-0.0
9,-72856.99999999999,-0.0
10,-73265.0,-0.0
11,-73620.5,-0.0
12,-73145.49999999999,-0.0
13,-72680.0,-0.0
14,-71343.49999999997,-0.0
15,-70812.5,-0.0
16,-70644.0,-0.0
17,-73790.5,-0.0
18,-74354.5,-0.0
19,-72774.99999999999,-0.0
20,-68567.49999999999,-0.0
21,-65362.5,-0.0
22,-63306.50000000001,-0.0
23,-59578.49999999999,-0.0
24,-56701.50000000001,-0.0
25,-54830.50000000001,-0.0
26,-53696.0,-0.0
27,-53784.5,-0.0
28,-54701.49999999999,-0.0
29,-57740.99999999999,-0.0
30,-65052.5,-0.0
31,-71814.0,-0.0
32,-73755.0,-0.0
33,-73829.0,-0.0
34,-74183.5,-0.0
35,-74363.99999999999,-0.0
36,-73948.0,-0.0
37,-73517.99999999999,-0.0
38,-72424.5,-0.0
39,-72002.5,-0.0
40,-71773.0,-0.0
41,-75009.49999999999,-0.0
42,-75024.5,-0.0
43,-73645.5,-0.0
44,-69956.5,-0.0
45,-66557.5,-0.0
46,-64146.0,-0.0
47,-60721.0,-0.0
48,-57547.999999999985,-0.0
49,-55610.99999999999,-0.0
